"","names","Freq"
"552","A. E. W. (Alfred Edward Woodley) Mason",11
"553","Abbie Farwell Brown",11
"554","Adam Mickiewicz",11
"555","Alan E. Nourse",11
"556","Alfred Russel Wallace",11
"557","Antonio Ghislanzoni",11
"558","Archibald Marshall",11
"559","Auguste Gilbert de Voisins",11
"560","B. L. (Benjamin Leopold) Farjeon",11
"561","B. L. Farjeon",11
"562","Basil Wells",11
"563","Bernhard Kellermann",11
"564","Bradford Torrey",11
"565","Burton Egbert Stevenson",11
"566","Cale Young Rice",11
"567","Charles Bradlaugh",11
"568","Charles Neville Buck",11
"569","Edith Van Dyne",11
"570","Edward Elmer Smith",11
"571","Edward Thomas",11
"572","Ella Wheeler Wilcox",11
"573","Ellen Glasgow",11
"574","Émile Gaboriau",11
"575","Emile Verhaeren",11
"576","Emmett McDowell",11
"577","Enrico Castelnuovo",11
"578","Ernest Thompson Seton",11
"579","Fanny Fern",11
"580","Ferdinando Petruccelli della Gattina",11
"581","Francis Beaumont",11
"582","Frank Gee Patchin",11
"583","Frank L. Packard",11
"584","Frank M. Robinson",11
"585","Fred M. White",11
"586","George John Romanes",11
"587","George Santayana",11
"588","Giorgio Vasari",11
"589","Giuseppe Giacosa",11
"590","Grace May North",11
"591","Gustav Freytag",11
"592","Henry Wadsworth Longfellow",11
"593","Herbert Carter",11
"594","Israel Zangwill",11
"595","James Arthur Kjelgaard",11
"596","James Baldwin",11
"597","James Lane Allen",11
"598","James McKimmey",11
"599","John Galsworthy",11
"600","John Henry Newman",11
"601","John McElroy",11
"602","Joost van den Vondel",11
"603","Joseph Conrad",11
"604","Joseph Hocking",11
"605","Joseph McCabe",11
"606","Laura Rountree Smith",11
"607","Lewis Spence",11
"608","Lucy Maud Montgomery",11
"609","Luigi Capuana",11
"610","M. E. Braddon",11
"611","M. M. Mangasarian",11
"612","Machado de Assis",11
"613","Madison J. Cawein",11
"614","Marcel Proust",11
"615","Maria Thompson Daviess",11
"616","Marja Salmela",11
"617","Mary Cholmondeley",11
"618","Maturin M. Ballou",11
"619","Maurice Hewlett",11
"620","Myrtle Reed",11
"621","Norman Duncan",11
"622","Octave Feuillet",11
"623","Oliver Onions",11
"624","Ossip Schubin",11
"625","Peter Rosegger",11
"626","Rudolf Steiner",11
"627","Samuel Richardson",11
"628","Sarah Orne Jewett",11
"629","Sophocles",11
"630","Stanley Mullen",11
"631","Stendhal",11
"632","Will N. Harben",11
"633","William Curtis",11
"634","William Walker Atkinson",11
"635","William Wood",11
"636","Abraham Lincoln",10
"637","Agnes C. Laut",10
"638","Alan Douglas",10
"639","Albert Payson Terhune",10
"640","Aleksis Kivi",10
"641","Alexander Blade",10
"642","Alfred Noyes",10
"643","Alice Duer Miller",10
"644","Amy Walton",10
"645","Anne Warner",10
"646","Annie Vivanti",10
"647","Antero de Quental",10
"648","Arlo Bates",10
"649","Arthur Schnitzler",10
"650","Augusta Huiell Seaman",10
"651","Baha'u'llah",10
"652","Benjamin Disraeli",10
"653","Bertrand Russell",10
"654","Bram Stoker",10
"655","Bret Harte",10
"656","Burton E. Stevenson",10
"657","Carlo Botta",10
"658","Charles Alden Seltzer",10
"659","Charles E. Fritch",10
"660","Charles Garvice",10
"661","Charles Nodier",10
"662","Charles Perrault",10
"663","Clara Louise Burnham",10
"664","Claude Farrère",10
"665","Desiderius Erasmus",10
"666","Dwight V. Swain",10
"667","Eduardo Zamacois",10
"668","Edward A. Freeman",10
"669","Edward Frederic Benson",10
"670","Eleanor Hallowell Abbott",10
"671","Elsie Singmaster",10
"672","Fanny Burney",10
"673","Filippo Tommaso Marinetti",10
"674","Francis Parkman",10
"675","Francois-Marie Arouet (AKA Voltaire)",10
"676","Frank Thomas Bullen",10
"677","Franz Hoffmann",10
"678","Friedrich Spielhagen",10
"679","Friedrich Wilhelm Nietzsche",10
"680","Fritz Reuter",10
"681","G. Harvey Ralphson",10
"682","G. Maspero",10
"683","Gardner F. Fox",10
"684","Gaston Leroux",10
"685","Georg Brandes",10
"686","George Bernard Shaw",10
"687","George Moore",10
"688","George Wharton James",10
"689","Geraldine Bonner",10
"690","Gerhart Hauptmann",10
"691","Giovanni Boccaccio",10
"692","Guillaume Apollinaire",10
"693","H. A. Cody",10
"694","Heinrich Heine",10
"695","Helen Leah Reed",10
"696","Henry David Thoreau",10
"697","Herbert George Wells",10
"698","Hermann Knackfuß",10
"699","Hesba Stretton",10
"700","Hippolyte Taine",10
"701","Homer Greene",10
"702","James Cook",10
"703","James Huneker",10
"704","James J. Walsh",10
"705","Jerome Bixby",10
"706","John Conroy Hutcheson",10
"707","Laurence Housman",10
"708","Leonid Andreyev",10
"709","Mabel Quiller-Couch",10
"710","Marietta Holley",10
"711","Marjorie Bowen",10
"712","Mary Grant Bruce",10
"713","Mary J. Holmes",10
"714","Mary Jane Holmes",10
"715","Miguel de Cervantes Saavedra",10
"716","Oliver Goldsmith",10
"717","Paul Cameron Brown",10
"718","Pierre Corneille",10
"719","Plutarch",10
"720","Randolph Caldecott",10
"721","Robert Barr",10
"722","Robert Herrick",10
"723","Robert Kiljander",10
"724","Roy Rockwood",10
"725","S. Weir Mitchell",10
"726","Sax Rohmer",10
"727","Selma Anttila",10
"728","Sigrid Undset",10
"729","Stefan Zweig",10
"730","Stephen Crane",10
"731","Stephen Graham",10
"732","Teuvo Pakkala",10
"733","Theodore Goodridge Roberts",10
"734","Thomas Bailey Aldrich",10
"735","Thomas Hughes",10
"736","Vernon Lee",10
"737","Victor Appleton",10
"738","Wilhelm Bölsche",10
"739","Wilhelm Busch",10
"740","William Elliot Griffis",10
"741","William James",10
"742","William Somerset Maugham",10
"743","Zsigmond Móricz",10
"744","A. Conan Doyle",9
"745","A. Hyatt Verrill",9
"746","Aeschylus",9
"747","Amanda Minnie Douglas",9
"748","Amy E. Blanchard",9
"749","Amy Le Feuvre",9
"750","Andy Adams",9
"751","Anne Manning",9
"752","Annette Kolb",9
"753","Arthur Machen",9
"754","Arthur Morrison",9
"755","Arthur Symons",9
"756","Arthur Train",9
"757","Bertrand W. Sinclair",9
"758","Booker T. Washington",9
"759","C. N. Williamson and A. M. Williamson",9
"760","Carl Ewald",9
"761","Charles Dana Gibson",9
"762","Charles Dudley Warner",9
"763","Charles Oman",9
"764","Charlotte Perkins Gilman",9
"765","Clarence Budington Kelland",9
"766","Dillon Wallace",9
"767","Dwight Moody",9
"768","E. T. A. Hoffmann",9
"769","Edward W. Ludwig",9
"770","Eleanor Gates",9
"771","Elizabeth Gordon",9
"772","Enguerrand de Monstrelet",9
"773","Ernst Eckstein",9
"774","F. L. Wallace",9
"775","Frank Harris",9
"776","Frank Richard Stockton",9
"777","Friedrich von Schiller",9
"778","G. J. Whyte-Melville",9
"779","Geoff St. Reynard",9
"780","George Alfred Henty",9
"781","George Cruikshank",9
"782","George Jacob Holyoake",9
"783","George Rawlinson",9
"784","George W. Peck",9
"785","Georges Louis Leclerc de Buffon",9
"786","Harriet T. Comstock",9
"787","Henry A. Beers",9
"788","Henry Bedford-Jones",9
"789","Henry Charles Lea",9
"790","Henry De Vere Stacpoole",9
"791","Henry Leverage",9
"792","Henry S. Fitch",9
"793","Henry Slesar",9
"794","Hezekiah Butterworth",9
"795","Hildegard G. Frey",9
"796","Hilja Haahti",9
"797","Holman Day",9
"798","István Tömörkény",9
"799","James Anthony Froude",9
"800","James B. Hendryx",9
"801","James Branch Cabell",9
"802","James Parkerson",9
"803","James Payn",9
"804","James Russell Lowell",9
"805","Jean Aicard",9
"806","Jeffery Farnol",9
"807","Johannes Linnankoski",9
"808","John Buchan",9
"809","John Muir",9
"810","John Richard Green",9
"811","John Stoughton",9
"812","John Timbs",9
"813","Jose Rizal",9
"814","Joseph Hergesheimer",9
"815","Jules Lermina",9
"816","Kasimir Leino",9
"817","Kauppis-Heikki",9
"818","Laurence Sterne",9
"819","Leslie Stephen",9
"820","Lord Dunsany",9
"821","Louis Joseph Vance",9
"822","Ludwig Tieck",9
